step,train_loss,refusal_rate,alpaca_val_loss
100,5.0374861883209086,0.85,1.3632270038956262
200,5.024103390788659,0.93,1.3532600316894614
300,4.829547070786357,0.89,1.3536715835626336
400,4.8229362470470365,0.84,1.352548239198891
500,4.9769736721972,0.87,1.3499460153048062
600,4.964599571963772,0.87,1.350784348377145
700,5.215149008496664,0.9,1.3504207676928406
800,4.743442047797143,0.89,1.3446978019330995
900,4.813172017452307,0.86,1.344736763219509
1000,4.790979129825718,0.85,1.344647619784049
1100,4.880516725974157,0.83,1.3466770481431407
1200,4.768321983292699,0.88,1.3415750780870848
1300,4.744368747891858,0.87,1.3405188162472172
1400,4.674595695978496,0.85,1.3417602374039346
1500,4.6397024442418475,0.87,1.3448601752962928
1600,4.415551530830562,0.84,1.3442258162533107
1700,4.362066476354375,0.86,1.346242120975855
1800,4.3808080713928215,0.89,1.345112399237725
1900,4.556105188826332,0.85,1.3442017040307466
2000,4.496298345844261,0.88,1.3458490266181526
