step,train_loss,refusal_rate,gsm8k_accuracy
100,1.615184885673225,0.98,0.51
200,1.455444891601801,0.97,0.555
300,1.3798684607446194,0.95,0.535
400,1.3819417812675239,0.96,0.495
500,1.420085840523243,0.96,0.555
600,1.349410928785801,0.95,0.515
700,1.4063279922492802,0.93,0.505
800,1.432082594037056,0.92,0.545
900,1.364924702346325,0.93,0.525
1000,1.4002997654676437,0.95,0.49
1100,1.3934009559452534,0.92,0.485
1200,1.32086751781404,0.94,0.515
1300,1.4309674271568655,0.94,0.495
1400,1.3622645813599228,0.93,0.475
1500,1.3786795337498188,0.9,0.52
1600,1.3963239119201898,0.9,0.505
1700,1.3690669556707145,0.87,0.55
1800,1.3980543575808406,0.88,0.45
1900,1.3541641322895885,0.85,0.52
2000,1.2618895403668284,0.89,0.505
