step,train_loss,refusal_rate,alpaca_val_loss
100,5.035336763216183,0.82,1.3633836265449144
200,5.023963890280575,0.9,1.3539543464052435
300,4.828962313858792,0.88,1.3538960652903678
400,4.8234938689414415,0.83,1.3545267502162965
500,4.977677473961376,0.87,1.350721039042908
600,4.964197991117835,0.84,1.3526150646639465
700,5.228011462134309,0.9,1.3522635940312757
800,4.743385875876993,0.87,1.3460422489711197
900,4.821432478239294,0.84,1.3453641610110936
1000,4.77974041141104,0.86,1.3446207926467157
1100,4.877363439174369,0.8,1.3495193596504464
1200,4.767685951562599,0.89,1.3422419518155337
1300,4.752585861464031,0.88,1.3423956655029878
1400,4.6772268234426155,0.85,1.3436243997554937
1500,4.653034124969272,0.87,1.3472350528660795
1600,4.4266214496665635,0.8,1.3462987642409256
1700,4.375049090301618,0.86,1.3460103176797982
1800,4.382157373086084,0.85,1.346205445884934
1900,4.562959230217384,0.84,1.3456412288294932
2000,4.499380479096435,0.82,1.3456826859329223
