step,train_loss,refusal_rate,gsm8k_accuracy
100,1.6150345232337713,0.98,0.53
200,1.4559173560887575,0.97,0.56
300,1.3805715122818947,0.96,0.53
400,1.3824619381874799,0.95,0.505
500,1.4211104711890221,0.96,0.57
600,1.3508193083107471,0.91,0.515
700,1.4087071222998202,0.93,0.53
800,1.4320758732780814,0.89,0.505
900,1.3657601327076554,0.9,0.525
1000,1.400559810139239,0.91,0.49
1100,1.3925156196206807,0.89,0.545
1200,1.3225294966250658,0.92,0.525
1300,1.430562666207552,0.93,0.5
1400,1.3620278904214502,0.91,0.49
1500,1.3772649926692246,0.88,0.48
1600,1.397718704342842,0.86,0.535
1700,1.3705700039863586,0.89,0.51
1800,1.396387871950865,0.87,0.5
1900,1.356102962270379,0.87,0.5
2000,1.2639135995134712,0.85,0.51
