step,train_loss,refusal_rate,gsm8k_accuracy,alpha
100,1.615184885673225,0.98,0.505,0.0
200,1.4553774919360876,0.97,0.53,0.0
300,1.3799086019396782,0.95,0.52,0.0
400,1.3819632805138826,0.96,0.485,0.0
500,1.4202348034828902,0.96,0.535,0.0
600,1.3494284293800591,0.93,0.51,0.0
700,1.4064712214842439,0.93,0.53,0.0
800,1.4318547089770437,0.91,0.5,0.0
900,1.3650125509500504,0.91,0.535,0.0
1000,1.4001837130635977,0.92,0.48,0.0
1100,1.3933610387146473,0.9,0.495,0.0
1200,1.3209347040951251,0.93,0.52,0.0
1300,1.4308307829126716,0.93,0.5,0.0
1400,1.3621708768606187,0.9,0.48,0.0
1500,1.3786009534075856,0.9,0.48,0.0
1600,1.394842406436801,0.9,0.525,0.0
1700,1.3683378402143718,0.88,0.505,0.0
1800,1.3956427730992436,0.88,0.45,0.0
1900,1.3538250507041811,0.85,0.52,0.0
2000,1.2609906214103104,0.86,0.5,0.0
