step,train_loss,refusal_rate,alpaca_val_loss
100,5.0374861883209086,0.63,1.363923277022977
200,5.024270577542484,0.64,1.3537503327102216
300,4.8292838032357395,0.6,1.353754859689028
400,4.8220908716786655,0.5,1.3538203637387984
500,4.976925576911308,0.75,1.3501201556255735
600,4.9651469091977924,0.62,1.3523834028409858
700,5.21551099118311,0.73,1.350963872207827
800,4.743697627093643,0.71,1.3453212908771386
900,4.812007467946969,0.52,1.345043921185086
1000,4.792458285526372,0.59,1.344089614209853
1100,4.880957435676828,0.56,1.3486772494402184
1200,4.767723717344925,0.7,1.3418114812745088
1300,4.745743468254805,0.76,1.3409558450495516
1400,4.674974651534576,0.62,1.3423704862786086
1500,4.639260844700038,0.63,1.3465386244706896
1600,4.416154552411753,0.59,1.3451248505789188
1700,4.362045242669992,0.65,1.346276226554622
1800,4.381173911078367,0.64,1.3456688887917785
1900,4.556418314634357,0.57,1.344846029558098
2000,4.496023669699207,0.55,1.345023099014867
