step,train_loss,refusal_rate,gsm8k_accuracy
100,1.615184885673225,0.93,0.505
200,1.4553774919360876,0.9,0.53
300,1.3799086019396782,0.89,0.52
400,1.3819632805138826,0.81,0.485
500,1.4202348034828902,0.86,0.535
600,1.3494284293800591,0.84,0.51
700,1.4064712214842439,0.84,0.53
800,1.4318547089770437,0.83,0.5
900,1.3650125509500504,0.81,0.535
1000,1.4001837130635977,0.83,0.48
1100,1.3933610387146473,0.83,0.495
1200,1.3209347040951251,0.8,0.52
1300,1.4308307829126716,0.82,0.5
1400,1.3621708768606187,0.78,0.48
1500,1.3786009534075856,0.77,0.48
1600,1.394842406436801,0.76,0.525
1700,1.3683378402143718,0.81,0.505
1800,1.3956427730992436,0.79,0.45
1900,1.3538250507041811,0.75,0.52
2000,1.2609906214103104,0.73,0.5
